Number	Latitude decimal	Longitude decimal	Length	Time	Duration	Speed	Knots	Bearing	Elevation	Elevation Delta	Elevation Gain	Elevation Loss	Latitude degrees	Longitude degrees	Name
1	51.817487	5.851248	0	2020-06-21T12:01:47Z	0			E	25.556152	0	0	0	51°49.049'N	5°51.075'E	
97	51.829466	5.894152	27.76589507576793	2020-06-21T12:14:20Z	5	5.553179015153587	10.79451644413968	N	70.755493	0.4640500000000003	69.23297399999998	-24.03363299999999	51°49.768'N	5°53.649'E	
98	51.829708	5.894178	26.9288451951729	2020-06-21T12:14:24Z	4	6.732211298793224	13.08637185510155	N	71.170227	0.4147339999999957	69.64770799999998	-24.03363299999999	51°49.782'N	5°53.651'E	
99	51.829984	5.894249	31.0296025290767	2020-06-21T12:14:29Z	5	6.205920505815341	12.06334439574961	N	70.139160	-1.031066999999993	69.64770799999998	-25.06469999999998	51°49.799'N	5°53.655'E	
100	51.830225	5.894377	28.16320732908884	2020-06-21T12:14:33Z	4	7.040801832272211	13.6862238640238	N	69.938171	-0.200989000000007	69.64770799999998	-25.26568899999999	51°49.813'N	5°53.663'E	
101	51.830448	5.894542	27.22579325025279	2020-06-21T12:14:36Z	3	9.07526441675093	17.640902753938	N	68.519714	-1.418457000000004	69.64770799999998	-26.68414599999999	51°49.827'N	5°53.673'E	
102	51.830657	5.894730	26.55011358615082	2020-06-21T12:14:39Z	3	8.850037862050273	17.2030973560319	NE	67.647339	-0.872374999999991	69.64770799999998	-27.55652099999998	51°49.839'N	5°53.684'E	
103	51.830873	5.894944	28.12103611961914	2020-06-21T12:14:42Z	3	9.373678706539714	18.22097372760933	NE	66.180603	-1.466735999999997	69.64770799999998	-29.02325699999998	51°49.852'N	5°53.697'E	
104	51.831119	5.895245	34.24331353243612	2020-06-21T12:14:45Z	3	11.41443784414537	22.18789213764069	NE	63.824951	-2.355652000000006	69.64770799999998	-31.37890899999999	51°49.867'N	5°53.715'E	
105	51.831296	5.895611	31.88887644406497	2020-06-21T12:14:48Z	3	10.62962548135499	20.66233894863178	NE	62.845703	-0.9792479999999983	69.64770799999998	-32.35815699999998	51°49.878'N	5°53.737'E	
106	51.831419	5.895920	25.21983042515004	2020-06-21T12:14:50Z	2	12.60991521257502	24.51171423609932	NE	61.487244	-1.358459000000003	69.64770799999998	-33.71661599999999	51°49.885'N	5°53.755'E	
107	51.831605	5.896249	30.59576894870282	2020-06-21T12:14:53Z	3	10.19858964956761	19.82447232096758	NE	59.944946	-1.542297999999995	69.64770799999998	-35.25891399999998	51°49.896'N	5°53.775'E	
108	51.831819	5.896511	29.79511947777036	2020-06-21T12:14:56Z	3	9.93170649259012	19.3056929661519	NE	59.355286	-0.5896600000000021	69.64770799999998	-35.84857399999999	51°49.909'N	5°53.791'E	
109	51.832021	5.896738	27.30619651365995	2020-06-21T12:15:00Z	4	6.826549128414987	13.26974992564056	NW	58.459045	-0.8962409999999963	69.64770799999998	-36.74481499999998	51°49.921'N	5°53.804'E	
110	51.832214	5.896520	26.1332153383403	2020-06-21T12:15:07Z	7	3.733316476905757	7.25698667216876	NW	57.921204	-0.5378410000000002	69.64770799999998	-37.28265599999998	51°49.933'N	5°53.791'E	
111	51.832364	5.896219	26.53143283947943	2020-06-21T12:15:11Z	4	6.632858209869857	12.89324490039096	NW	57.963623	0.04241899999999532	69.69012699999998	-37.28265599999998	51°49.942'N	5°53.773'E	
112	51.832496	5.895913	25.60518159967053	2020-06-21T12:15:15Z	4	6.401295399917633	12.4431228076114	N	58.469482	0.5058590000000009	70.19598599999998	-37.28265599999998	51°49.950'N	5°53.755'E	
113	51.832721	5.895954	25.14002960227172	2020-06-21T12:15:20Z	5	5.028005920454343	9.773661616430887	NW	59.878235	1.408752999999997	71.60473899999997	-37.28265599999998	51°49.963'N	5°53.757'E	
114	51.832957	5.895707	31.20636144900357	2020-06-21T12:15:37Z	17	1.835668320529622	3.56825375480809	N	61.060303	1.182068000000001	72.78680699999997	-37.28265599999998	51°49.977'N	5°53.742'E	
115	51.833195	5.895642	26.79924919819592	2020-06-21T12:15:49Z	12	2.233270766516326	4.341131079620019	N	60.790955	-0.2693480000000008	72.78680699999997	-37.55200399999998	51°49.992'N	5°53.739'E	
116	51.833455	5.895681	28.99200142078715	2020-06-21T12:15:59Z	10	2.899200142078715	5.635594228660977	NE	61.504456	0.7135010000000008	73.50030799999996	-37.55200399999998	51°50.007'N	5°53.741'E	
117	51.833605	5.895967	25.7379686421024	2020-06-21T12:16:04Z	5	5.14759372842048	10.00612171830883	NE	62.968018	1.463562000000003	74.96386999999996	-37.55200399999998	51°50.016'N	5°53.758'E	
118	51.833807	5.896158	25.97633102582994	2020-06-21T12:16:09Z	5	5.195266205165987	10.09878959967156	N	64.321594	1.353576000000004	76.31744599999996	-37.55200399999998	51°50.028'N	5°53.769'E	
119	51.834063	5.896302	30.09228377668861	2020-06-21T12:16:14Z	5	6.018456755337723	11.69894401685155	N	64.391846	0.07025199999999643	76.38769799999996	-37.55200399999998	51°50.044'N	5°53.778'E	
120	51.834260	5.896483	25.15273517512297	2020-06-21T12:16:18Z	4	6.288183793780742	12.22325143499116	NE	64.961304	0.5694579999999974	76.95715599999996	-37.55200399999998	51°50.056'N	5°53.789'E	
121	51.834441	5.896774	28.32857074945312	2020-06-21T12:16:23Z	5	5.665714149890625	11.01326724600427	E	65.055359	0.09405499999999734	77.05121099999995	-37.55200399999998	51°50.066'N	5°53.806'E	
122	51.834480	5.897158	26.69989881866437	2020-06-21T12:16:30Z	7	3.814271259809196	7.414350181052287	E	65.664001	0.6086420000000032	77.65985299999996	-37.55200399999998	51°50.069'N	5°53.829'E	
123	51.834520	5.897524	25.50112882795582	2020-06-21T12:16:40Z	10	2.550112882795582	4.957022882322483	E	65.798401	0.1343999999999994	77.79425299999996	-37.55200399999998	51°50.071'N	5°53.851'E	
124	51.834622	5.897953	31.53744442005988	2020-06-21T12:16:47Z	7	4.505349202865697	8.757698234509428	E	66.427307	0.6289060000000006	78.42315899999996	-37.55200399999998	51°50.077'N	5°53.877'E	
125	51.834610	5.898319	25.14666348702607	2020-06-21T12:16:52Z	5	5.029332697405215	9.776240664499536	E	67.854004	1.426697000000004	79.84985599999996	-37.55200399999998	51°50.077'N	5°53.899'E	
126	51.834627	5.898702	26.34541746083754	2020-06-21T12:16:58Z	6	4.39090291013959	8.53523243871361	NE	67.328186	-0.525818000000001	79.84985599999996	-38.07782199999998	51°50.078'N	5°53.922'E	
127	51.834821	5.898910	25.83866490708515	2020-06-21T12:17:04Z	6	4.306444151180859	8.371057745273363	W	64.863831	-2.464354999999998	79.84985599999996	-40.54217699999998	51°50.089'N	5°53.935'E	
128	51.834807	5.898541	25.36473598456759	2020-06-21T12:17:12Z	8	3.170591998070949	6.163137793224549	W	65.078674	0.2148430000000019	80.06469899999996	-40.54217699999998	51°50.088'N	5°53.912'E	
129	51.834749	5.898171	26.18978454580211	2020-06-21T12:17:17Z	5	5.237956909160422	10.18177368950953	W	64.106873	-0.9718010000000135	80.06469899999996	-41.51397799999999	51°50.085'N	5°53.890'E	
130	51.834768	5.897756	28.55119587375151	2020-06-21T12:17:22Z	5	5.710239174750301	11.0998169703535	W	62.829346	-1.277526999999992	80.06469899999996	-42.79150499999999	51°50.086'N	5°53.865'E	
